Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,T,0,0,0,0,0,0,0,0,0,0,0.5
2,5.5,0,2.2,0,0,0,0,0,0,0,0,4
3,0.9,0,0,5.8,0,0,0,0,0,0,0,0
4,T,1.2,0,T,T,0,0,0,0,0,0,0
5,0,T,0,0,0,0,0,0,0,0,0,0
6,2.7,1.8,0,0,0,0,0,0,0,0,0,0
7,0,13,0,0,0,0,0,0,0,0,0,0
8,T,9.6,0,0,0,0,0,0,0,0,3,0
9,3,5,1.2,0,0,7,0,0,0.5,0,3,0
10,3,9,T,0,0,0,0,0,0,0,8,0
11,1.3,T,T,0,0,0,0,0,2,0,1,1.5
12,3.5,0,T,3.5,0,0,0,0,0,3,3,2
13,2,2.2,T,2.5,0,0,0,0,0,0,0.5,4.5
14,1,T,2.3,1.3,0,0,0,0,0,0,2,T
15,1.7,0,0,T,0,0,0,0,0,0,1.5,6
16,0,8,0,2.5,0,0,0,0,0,0,0,0
17,0,10,0,5,0,0,0,0,0,0,0,2
18,3.5,3,0,0,0,0,0,0,0,0,0,1.7
19,0,0,T,1,0,0,0,0,0,0,0,1
20,0,T,8,5,0,0,0,0,0,0,0,T
21,0,0,1,0,0,0,0,0,0,0,0,T
22,3,0,1,0,0,0,0,0,0,0,0,0
23,2,T,3,0,0,0,0,0,0,0,0,2
24,T,T,1.7,6.5,0,0,0,0,0,0,4,0
25,2.6,1,0,4,3,0,0,0,0,0,5,0
26,T,T,0,0,0,0,0,0,0,5,0,0
27,T,T,0,0,0,0,0,0,0,1.5,1,6.5
28,2,T,4.8,0,0,0,0,0,0,0,0,T
29,0.8,0,T,0,0,0,0,0,0,0,0,2.3
30,1.3,-,T,0,0,0,0,0,0,0,0,0
31,0.5,-,0,-,0,-,0,0,-,0,-,T
