Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,0,0,T,0,3,0,0,0,0,0,0,1
2,0,0,4.9,0.6,T,0,0,0,0,0,0,0
3,0,0,11.5,2,0,0,0,0,0,0,0,0
4,0,1,5.5,T,0,0,0,0,0,0,0,0
5,0,1.4,T,0,0,0,0,0,0,0,0,0
6,0,T,1.9,0,0,0,0,0,0,0,0,2.5
7,2,6.6,6.2,0.8,0,0,0,0,0,0,0,0
8,0,1,1.5,0,0,0,0,0,0,0,0,T
9,0,0,6,0,2.5,0,0,0,0,0,0,7
10,0,0,0,0.5,T,0,0,0,0,3.7,0,0.8
11,3,0,0,15,0,0,0,0,0,0.5,T,0
12,1.8,0,1.5,T,0,0,0,0,0,0,0,T
13,0,0,T,T,0,0,0,0,0,0,0,11
14,0,8,11.5,0,0,0,0,0,0,0,0,6
15,0,1,0,0,0,0,0,0,0,0,0,4.2
16,T,2,0,0,0,0,0,0,0,0,0,T
17,3,0.8,0,T,0,0,0,0,0,0,1,T
18,3.7,T,0,0,0.5,0,0,0,0,0,0,T
19,2.7,0,0,0,0,0,0,0,0,1,0,0
20,0,T,0,0,0,0,0,0,0,4.5,0,0
21,0,0,0,0,1,0,0,0,0,3,2.3,T
22,4,0,0,0.5,0,3,0,0,0,4,6.5,0
23,T,5,0.8,0,0,T,0,0,0,T,1.6,0
24,5,0,0,0,2,0,0,0,0,5.5,0,0
25,3,0,0.8,0,0,0,0,0,0,0,0,T
26,1.3,0,0,0,0,0,0,0,0,0,T,1
27,0.7,0,0,0,0,0,0,0,0,0,0.5,0
28,4.5,0.8,0,0,T,0,0,0,0,3.8,0,3.3
29,T,M,0,0.8,1,0,0,0,0,0.7,0,3.5
30,0,-,1.3,2.7,0,0,0,0,0,0.5,3.1,T
31,0,-,0,-,0,-,0,0,-,0,-,T
