Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,25,28,38,44,12,0,0,0,0,0,0,9
2,25,28,37,43,9,0,0,0,0,0,4,9
3,25,28,36,41,10,0,0,0,0,0,4,9
4,26,38,38,38,8,0,0,0,0,0,4,9
5,26,38,41,37,10,0,0,0,0,0,4,9
6,27,41,40,35,7,0,0,0,0,0,4,9
7,26,38,39,34,4,0,0,0,0,0,4,10
8,26,35,37,33,0,0,0,0,0,0,4,10
9,25,34,36,32,0,0,0,0,0,0,4,10
10,25,34,41,30,2,0,0,0,0,0,4,15
11,25,34,41,28,3,0,0,0,0,0,8,15
12,25,34,40,26,6,0,0,0,0,0,9,14
13,25,41,40,24,2,0,0,0,0,4,8,14
14,24,41,51,23,0,0,0,0,0,3,7,13
15,24,41,52,21,0,0,0,0,0,5,6,13
16,26,41,51,30,0,0,0,0,0,4,6,18
17,25,39,50,25,0,0,0,0,0,2,9,18
18,29,40,47,23,0,0,0,0,0,0,8,19
19,28,39,45,21,0,0,0,0,0,0,7,19
20,28,39,43,27,0,0,0,0,0,0,7,18
21,27,39,47,22,0,0,0,0,0,0,10,18
22,27,39,49,22,0,0,0,0,0,0,9,17
23,27,38,45,28,0,0,0,0,0,0,9,17
24,27,37,46,25,0,0,0,0,0,4,13,26
25,27,37,45,22,0,0,0,0,0,2,12,28
26,27,36,47,20,0,0,0,0,0,0,12,27
27,28,37,47,18,0,0,0,0,0,1,11,34
28,27,39,46,21,0,0,0,0,0,2,11,29
29,27,M,44,17,0,0,0,0,0,1,10,35
30,28,-,47,15,0,0,0,0,0,0,9,34
31,29,-,45,-,0,-,0,0,-,0,-,34
