Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,37,35,41,37,12,0,0,0,0,0,3,18
2,36,36,39,35,13,0,0,0,0,0,3,17
3,34,35,38,37,11,0,0,0,0,0,3,19
4,33,35,38,35,19,0,0,0,0,0,10,20
5,32,35,37,34,15,0,0,0,0,0,10,20
6,40,39,39,35,11,0,0,0,0,0,11,26
7,38,38,43,35,9,0,0,0,0,0,10,24
8,38,37,43,33,6,0,0,0,0,0,9,24
9,37,37,42,30,3,0,0,0,0,0,9,23
10,36,36,45,31,1,0,0,0,0,0,12,22
11,36,36,44,29,0,0,0,0,0,0,13,22
12,36,39,43,31,0,0,0,0,0,0,12,21
13,35,38,43,35,0,0,0,0,0,0,12,22
14,34,38,44,39,0,0,0,0,0,0,13,23
15,37,37,41,36,0,0,0,0,0,0,14,23
16,36,37,40,31,0,0,0,0,0,0,14,23
17,36,40,50,32,0,0,0,0,0,0,13,22
18,35,39,50,34,0,0,0,0,0,0,17,22
19,34,38,49,29,0,0,0,0,0,0,15,22
20,34,38,46,26,0,0,0,0,0,0,15,21
21,36,37,46,24,8,0,0,0,0,0,14,23
22,36,37,44,20,1,0,0,0,0,0,14,27
23,35,40,44,27,1,0,0,0,0,0,14,26
24,35,43,42,25,0,0,0,0,0,3,14,25
25,36,43,41,21,3,0,0,0,0,3,14,25
26,35,43,39,19,0,0,0,0,0,4,13,24
27,35,42,38,16,0,0,0,0,0,7,18,24
28,36,42,36,15,0,0,0,0,0,6,17,25
29,35,M,35,13,0,0,0,0,0,4,19,32
30,35,-,41,13,2,0,0,0,0,4,18,30
31,35,-,39,-,0,-,0,0,-,3,-,37
