Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,23,32,37,40,12,0,0,0,0,0,10,18
2,22,32,42,40,11,0,0,0,0,0,9,17
3,22,31,50,40,11,0,0,0,0,0,9,17
4,22,31,55,39,8,0,0,0,0,0,9,17
5,22,31,49,38,6,0,0,0,0,0,8,16
6,22,31,49,35,3,0,0,0,0,0,8,18
7,23,37,51,36,0,0,0,0,0,0,8,18
8,22,36,50,33,0,0,0,0,0,0,8,18
9,22,36,53,31,2,0,0,0,0,0,8,24
10,22,35,51,30,0,0,0,0,0,3,8,23
11,25,34,50,45,0,0,0,0,0,3,8,22
12,26,34,50,41,0,0,0,0,0,2,8,18
13,26,33,50,40,0,0,0,0,0,2,8,28
14,25,41,57,37,0,0,0,0,0,0,8,33
15,25,40,55,34,0,0,0,0,0,0,8,34
16,25,41,54,31,0,0,0,0,0,0,8,33
17,27,40,52,30,0,0,0,0,0,0,9,32
18,29,39,51,29,0,0,0,0,0,0,8,29
19,31,38,50,28,0,0,0,0,0,1,8,29
20,30,38,49,26,0,0,0,0,0,5,8,28
21,29,38,48,24,1,0,0,0,0,6,10,27
22,32,37,48,24,0,3,0,0,0,8,17,26
23,32,41,48,22,0,0,0,0,0,5,17,26
24,36,40,47,20,2,0,0,0,0,11,17,25
25,36,39,48,17,0,0,0,0,0,9,17,25
26,35,39,47,14,0,0,0,0,0,8,16,25
27,34,38,45,13,0,0,0,0,0,8,16,25
28,36,38,42,10,0,0,0,0,0,11,16,27
29,35,M,41,8,0,0,0,0,0,10,15,29
30,34,-,41,10,0,0,0,0,0,10,18,29
31,33,-,41,-,0,-,0,0,-,10,-,28
