Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,7,0,0,1.3,0,T,0,0,0,0,0,0
2,T,2,0,0,1.5,0,0,0,0,0,0,0
3,T,T,0,2,0,0,0,0,0,0,0,2.5
4,0,T,0,0,9,0,0,0,0,0,7,3.5
5,1,T,T,0.5,2,0,0,0,0,0,1,1
6,13,4.5,2,1.5,0,0,0,0,0,0,2.5,8.5
7,0.5,0,4.5,0,0,0,0,0,0,0,T,T
8,0,0,T,0,0,0,0,0,0,0,0,2.1
9,2,0,T,0,T,0,0,0,0,0,0,0.5
10,0,T,4.3,2.5,0,0,0,0,0,0,3,0
11,0,0,T,0,0,0,0,0,0,0,2,0
12,0,4,T,3,0,0,0,0,0,0,0,0
13,0,0,0,5,0,0,0,0,0,0,0,1.2
14,0,0,2,6.5,0,0,0,0,0,0,2,2
15,4,0,0,0,0,0,0,0,0,0,2.5,0.5
16,0,0,0,0,0,0,0,0,0,0,T,1
17,0,3.3,10.4,2,0,0,0,0,0,0,0.5,0
18,0,T,T,3,0,0,0,0,0,0,4,0
19,0,0,0,0,0,0,0,0,0,0,0.5,0
20,T,0,0,0,0,0,0,0,0,0,0,0
21,2.5,0,T,0,8,0,0,0,0,0,0,2
22,T,T,T,0,0,0,0,0,0,0,0,4.5
23,0,3.4,T,7,0.8,0,0,0,0,0,0,0
24,0,4.5,0,3,0,0,0,0,0,3,T,T
25,1.5,1.6,0,0.5,3,0,0,0,0,0.5,0,0.6
26,0,1.5,0,0,0,0,0,0,0,1.5,0,T
27,T,0,0,0,0,0,0,0,0,5,5.5,0
28,1.5,0,0,0,0,0,0,0,0,1,T,2.3
29,0,M,T,0,0,0,0,0,0,0,2.5,6.5
30,0,-,5.7,1,2.5,0,0,0,0,0,1,0.6
31,0,-,T,-,T,-,0,0,-,0,-,8
